feature,importance
tfidf_watching,0.056003224
tfidf_device,0.050801698
tfidf_features,0.043853313
tfidf_great tablet,0.040018026
tfidf_nice,0.03834478
tfidf_tablet price,0.03509663
tfidf_set,0.034597203
tfidf_need,0.032980297
tfidf_reading,0.03134043
tfidf_kids,0.024492204
tfidf_fast,0.0229019
tfidf_got,0.022258297
tfidf_app,0.02200558
tfidf_amazon,0.020724095
tfidf_version,0.019693758
tfidf_loves,0.019553779
tfidf_price,0.019274294
tfidf_son,0.018500704
tfidf_does,0.017352294
tfidf_using,0.017004859
tfidf_read,0.016909325
tfidf_user,0.016884988
digit_ratio,0.01594043
tfidf_purchased,0.015618377
tfidf_christmas,0.014440886
tfidf_product,0.01305611
exclamation_count,0.012966046
tfidf_like,0.01265162
tfidf_able,0.012373645
tfidf_apps,0.012139085
tfidf_good,0.011986833
word_count,0.0117840115
tfidf_happy,0.011387091
tfidf_great,0.011113991
uppercase_ratio,0.01106924
tfidf_ipad,0.01034266
tfidf_tablet,0.01017459
tfidf_bought,0.01014721
tfidf_love,0.009713353
tfidf_games,0.009636676
punctuation_ratio,0.009568936
avg_word_length,0.009094305
char_count,0.008992595
tfidf_clear,0.008599119
tfidf_watch,0.008540125
tfidf_web,0.008351616
capital_words,0.00803985
tfidf_easy,0.007983996
tfidf_screen,0.007835594
tfidf_recommend,0.0078014233
tfidf_old,0.0075827385
tfidf_use,0.0073976857
tfidf_perfect,0.0070518903
tfidf_better,0.006040018
tfidf_movies,0.005878816
tfidf_gift,0.0056835054
tfidf_books,0.005486209
unique_word_ratio,0.0049438966
is_extreme_rating,0.0048559993
tfidf_easy use,0.0045410977
tfidf_just,0.004284012
rating,0.0038979156
tfidf_kindle,0.0036682896
total_reviews,0.0034092686
short_five_star,0.0018364715
tfidf_time,0.0015011457
tfidf_value,0.0
rating_vs_product_avg,0.0
tfidf_quality,0.0
five_star_not_recommended,0.0
tfidf_reader,0.0
tfidf_year,0.0
is_recommended_flag,0.0
tfidf_works,0.0
tfidf_really,0.0
tfidf_work,0.0
tfidf_wife,0.0
question_count,0.0
tfidf_wanted,0.0
tfidf_purchase,0.0
tfidf_size,0.0
tfidf_want,0.0
tfidf_store,0.0
is_one_star,0.0
is_five_star,0.0
tfidf_tablets,0.0
tfidf_things,0.0
tfidf_videos,0.0
tfidf_used,0.0
tfidf_definitely,0.0
tfidf_older,0.0
product_total_reviews,0.0
tfidf_battery,0.0
is_short_review,0.0
tfidf_access,0.0
tfidf_internet,0.0
tfidf_hd,0.0
tfidf_android,0.0
tfidf_available,0.0
tfidf_best,0.0
is_duplicate_text,0.0
tfidf_good tablet,0.0
tfidf_bigger,0.0
tfidf_fine,0.0
tfidf_buy,0.0
tfidf_far,0.0
tfidf_excellent,0.0
tfidf_library,0.0
tfidf_little,0.0
tfidf_prime,0.0
tfidf_netflix,0.0
product_avg_rating,0.0
tfidf_play,0.0
tfidf_picture,0.0
tfidf_daughter,0.0
product_five_star_rate,0.0
tfidf_new,0.0
tfidf_music,0.0
tfidf_long,0.0
tfidf_money,0.0
review_length,0.0
tfidf_loved,0.0
helpful_votes,0.0
tfidf_lot,0.0
tfidf_looking,0.0
tfidf_year old,0.0
